admin_level,feature_index,name,pcode,parent_name,parent_pcode,centroid_latitude,centroid_longitude,min_longitude,min_latitude,max_longitude,max_latitude,area_km2,source_file
1,0,Central Equatoria,SS01,South Sudan,SS,4.765474403961179,31.19485304657892,29.796630165000124,3.487840075000122,32.17315423000019,6.251062285000046,43083.1554712678,ssd_admin1.geojson
1,1,Eastern Equatoria,SS02,South Sudan,SS,4.903834461600589,33.594237005583615,31.724287654000136,3.50439260100012,35.951923671000145,6.008191775000057,73022.09344325372,ssd_admin1.geojson
1,2,Jonglei,SS03,South Sudan,SS,7.386225400569801,32.334112977667104,30.2099056240001,5.720879300000092,35.021284045000186,9.519056320000061,121917.69877380741,ssd_admin1.geojson
1,3,Lakes,SS04,South Sudan,SS,6.634582950466062,29.93664539008325,28.462971108999966,5.675484415000085,31.69731703800005,7.832605447000049,43185.806809316935,ssd_admin1.geojson
1,4,Northern Bahr el Ghazal,SS05,South Sudan,SS,8.876301175488623,27.035670638397846,26.13630537500012,7.892373008000106,28.036059964000174,9.895780794000132,30851.90680631094,ssd_admin1.geojson
1,5,Unity,SS06,South Sudan,SS,8.926055762510977,29.888567105341238,28.69472287300016,7.067214749000073,30.846070440000176,10.288802127999986,37058.93489437746,ssd_admin1.geojson
1,6,Upper Nile,SS07,South Sudan,SS,9.903097740090436,32.79931960999419,30.75618553200013,7.987863541000081,34.148303419,12.236351879000097,77235.24383485242,ssd_admin1.geojson
1,7,Warrap,SS08,South Sudan,SS,8.137660078540087,28.72675247923164,27.86224614000014,6.388121091000073,29.697964066000168,9.352099369000086,35855.47592997683,ssd_admin1.geojson
1,8,Western Bahr el Ghazal,SS09,South Sudan,SS,8.224773468670914,26.21592802492334,24.15072456300004,6.649802008000108,28.53615587600018,10.43273162700018,91271.62335348097,ssd_admin1.geojson
1,9,Western Equatoria,SS10,South Sudan,SS,5.548201996262483,28.678616055580274,26.288841550000086,4.280105622000178,31.018461227000103,6.797650856000075,78913.20801874681,ssd_admin1.geojson
